epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2818.31,1.35198,2.18895,1.54934,0.23409,0.34957,0.17631,0.0762,1.9472,2.66541,2.04044,0.000554356,0.000554356,0.000554356
2,5743.27,1.50011,2.10458,1.66381,0.25224,0.32342,0.20861,0.10069,1.92796,2.40571,1.92753,0.00107339,0.00107339,0.00107339
3,8708.53,1.4635,2.04423,1.64218,0.35012,0.34477,0.26101,0.14768,1.79524,2.28755,1.81746,0.00155575,0.00155575,0.00155575
4,11693.9,1.39833,1.9093,1.58914,0.41107,0.44708,0.35911,0.19437,1.67829,1.86232,1.69858,0.00150197,0.00150197,0.00150197
5,14607.1,1.32637,1.79245,1.51923,0.39758,0.46493,0.36318,0.21168,1.57438,1.89791,1.61629,0.00144696,0.00144696,0.00144696
6,17524.2,1.27525,1.71418,1.48868,0.37888,0.54851,0.40104,0.22993,1.46873,1.59516,1.52241,0.00139195,0.00139195,0.00139195
7,20446.7,1.22997,1.60939,1.46344,0.44313,0.52494,0.43041,0.24624,1.50904,1.56069,1.52328,0.00133693,0.00133693,0.00133693
8,23373.5,1.2107,1.57138,1.43742,0.39161,0.57096,0.42986,0.26551,1.41111,1.55007,1.47261,0.00128192,0.00128192,0.00128192
9,29871.5,1.16487,1.51197,1.40256,0.46682,0.59027,0.47935,0.29364,1.39458,1.38445,1.44116,0.00122691,0.00122691,0.00122691
10,32796,1.15398,1.47704,1.39679,0.41596,0.6297,0.48618,0.28418,1.3972,1.42237,1.46947,0.0011719,0.0011719,0.0011719
11,35720,1.12773,1.42018,1.37346,0.45722,0.66285,0.49861,0.29644,1.34095,1.2677,1.41825,0.00111689,0.00111689,0.00111689
12,38643.6,1.09991,1.3934,1.36076,0.46817,0.65948,0.49964,0.32835,1.28721,1.27684,1.35734,0.00106188,0.00106188,0.00106188
13,42081.7,1.09257,1.34886,1.34135,0.48382,0.67276,0.52576,0.32157,1.33587,1.25073,1.37124,0.00100687,0.00100687,0.00100687
14,45154.7,1.08266,1.30878,1.33321,0.50584,0.65484,0.54337,0.3395,1.32386,1.20997,1.3719,0.000951857,0.000951857,0.000951857
15,48233,1.05189,1.28991,1.31741,0.48256,0.68418,0.55209,0.34717,1.26546,1.16696,1.34032,0.000896846,0.000896846,0.000896846
16,51311.9,1.03445,1.25873,1.30242,0.51336,0.69937,0.53986,0.35778,1.19635,1.13071,1.30884,0.000841835,0.000841835,0.000841835
17,54389.7,1.02656,1.23628,1.29821,0.52199,0.69497,0.56571,0.37242,1.24179,1.12714,1.3116,0.000786824,0.000786824,0.000786824
18,57541.4,1.00844,1.22007,1.28585,0.50536,0.71047,0.57313,0.36903,1.21865,1.09855,1.30023,0.000731813,0.000731813,0.000731813
19,60631.2,1.0037,1.1937,1.27372,0.52808,0.73946,0.58071,0.37313,1.20858,1.06436,1.28409,0.000676802,0.000676802,0.000676802
20,63767.9,0.98354,1.1704,1.2637,0.52347,0.74013,0.57982,0.38523,1.18688,1.05089,1.27403,0.000621791,0.000621791,0.000621791
21,66862.4,0.98355,1.05431,1.24463,0.527,0.72664,0.60205,0.40178,1.16772,1.04164,1.25823,0.00056678,0.00056678,0.00056678
22,69928.2,0.9597,1.01921,1.22478,0.53671,0.73606,0.60651,0.41243,1.16078,1.00975,1.24269,0.000511769,0.000511769,0.000511769
23,73006.5,0.94517,0.99742,1.21769,0.55448,0.75289,0.62661,0.42673,1.16085,0.98854,1.23336,0.000456758,0.000456758,0.000456758
24,76117.3,0.92227,0.94702,1.19339,0.56161,0.74421,0.63724,0.43186,1.13638,0.98319,1.2285,0.000401747,0.000401747,0.000401747
25,79208.8,0.90556,0.92598,1.17929,0.56148,0.7942,0.64544,0.44057,1.13272,0.9482,1.22507,0.000346736,0.000346736,0.000346736
26,82278.2,0.87697,0.88469,1.15879,0.59152,0.73738,0.66576,0.45903,1.12407,0.93919,1.2164,0.000291725,0.000291725,0.000291725
27,85338.1,0.86373,0.86197,1.15021,0.63494,0.73764,0.68884,0.47774,1.10157,0.9069,1.20763,0.000236714,0.000236714,0.000236714
28,88399.2,0.84345,0.81974,1.1362,0.66106,0.75563,0.74794,0.53076,1.10073,0.86828,1.19289,0.000181703,0.000181703,0.000181703
29,91464.1,0.83449,0.78566,1.12701,0.70801,0.74621,0.77378,0.5539,1.10309,0.84821,1.19516,0.000126692,0.000126692,0.000126692
30,94537,0.81565,0.74093,1.11339,0.70777,0.7717,0.80339,0.58365,1.07697,0.82435,1.18201,7.1681e-05,7.1681e-05,7.1681e-05
